--- Most to Least Appearances ---
Pikachu - 145 games total
Charizard - 110 games total
Charmander - 104 games total
Meowth - 102 games total
Squirtle - 100 games total
Gengar - 98 games total
Raichu - 97 games total
Eevee - 96 games total
Bulbasaur - 95 games total
Lapras - 94 games total
Jigglypuff - 93 games total
Snorlax - 91 games total
Psyduck - 90 games total
Gyarados - 90 games total
Pichu - 90 games total
Diglett - 89 games total
Mewtwo - 89 games total
Magikarp - 88 games total
Dragonite - 87 games total
Slowpoke - 86 games total
Magnemite - 86 games total
Magneton - 85 games total
Chansey - 84 games total
Espeon - 84 games total
Clefairy - 83 games total
Vulpix - 83 games total
Vaporeon - 83 games total
Mew - 83 games total
Jolteon - 82 games total
Umbreon - 82 games total
Venusaur - 81 games total
Blastoise - 81 games total
Flareon - 81 games total
Charmeleon - 80 games total
Zubat - 80 games total
Machamp - 80 games total
Staryu - 80 games total
Dratini - 80 games total
Ninetales - 78 games total
Gastly - 78 games total
Togepi - 78 games total
Geodude - 77 games total
Haunter - 77 games total
Voltorb - 77 games total
Ditto - 77 games total
Gardevoir - 77 games total
Wigglytuff - 76 games total
Growlithe - 76 games total
Scyther - 76 games total
Pinsir - 76 games total
Rhydon - 75 games total
Horsea - 75 games total
Scizor - 75 games total
Golbat - 74 games total
Abra - 74 games total
Electrode - 74 games total
Koffing - 74 games total
Rhyhorn - 74 games total
Moltres - 74 games total
Tyranitar - 74 games total
Lucario - 74 games total
Sandshrew - 73 games total
Alakazam - 73 games total
Kangaskhan - 73 games total
Electabuzz - 73 games total
Lugia - 73 games total
Sandslash - 72 games total
Poliwag - 72 games total
Graveler - 72 games total
Goldeen - 72 games total
Magmar - 72 games total
Zapdos - 72 games total
Heracross - 72 games total
Ivysaur - 71 games total
Oddish - 71 games total
Golem - 71 games total
Slowbro - 71 games total
Aerodactyl - 71 games total
Chikorita - 71 games total
Cyndaquil - 71 games total
Marill - 71 games total
Wartortle - 70 games total
Dugtrio - 70 games total
Arcanine - 70 games total
Machoke - 70 games total
Cubone - 70 games total
Articuno - 70 games total
Dragonair - 70 games total
Sneasel - 70 games total
Delibird - 70 games total
Clefable - 69 games total
Starmie - 69 games total
Torchic - 69 games total
Metagross - 69 games total
Golduck - 68 games total
Machop - 68 games total
Bellossom - 68 games total
Suicune - 68 games total
Mudkip - 68 games total
Grimer - 67 games total
Cloyster - 67 games total
Onix - 67 games total
Seadra - 67 games total
Igglybuff - 67 games total
Quagsire - 67 games total
Shellder - 66 games total
Porygon - 66 games total
Cleffa - 66 games total
Murkrow - 66 games total
Steelix - 66 games total
Sableye - 66 games total
Gloom - 65 games total
Mankey - 65 games total
Poliwhirl - 65 games total
Farfetch'd - 65 games total
Muk - 65 games total
Weezing - 65 games total
Totodile - 65 games total
Wobbuffet - 65 games total
Swinub - 65 games total
Skarmory - 65 games total
Entei - 65 games total
Larvitar - 65 games total
Ho-Oh - 65 games total
Altaria - 65 games total
Butterfree - 64 games total
Persian - 64 games total
Primeape - 64 games total
Tentacool - 64 games total
Dodrio - 64 games total
Exeggcutor - 64 games total
Hitmonlee - 64 games total
Mr. Mime - 64 games total
Crobat - 64 games total
Mareep - 64 games total
Sudowoodo - 64 games total
Celebi - 64 games total
Latios - 64 games total
Garchomp - 64 games total
Pidgey - 63 games total
Vileplume - 63 games total
Kadabra - 63 games total
Tentacruel - 63 games total
Rapidash - 63 games total
Seaking - 63 games total
Chinchou - 63 games total
Elekid - 63 games total
Treecko - 63 games total
Pelipper - 63 games total
Ralts - 63 games total
Poliwrath - 62 games total
Bellsprout - 62 games total
Exeggcute - 62 games total
Marowak - 62 games total
Hoothoot - 62 games total
Azumarill - 62 games total
Pupitar - 62 games total
Blaziken - 62 games total
Kirlia - 62 games total
Beedrill - 61 games total
Arbok - 61 games total
Venonat - 61 games total
Krabby - 61 games total
Tauros - 61 games total
Lanturn - 61 games total
Wooper - 61 games total
Blissey - 61 games total
Raikou - 61 games total
Kyogre - 61 games total
Leafeon - 61 games total
Glaceon - 61 games total
Rattata - 60 games total
Ekans - 60 games total
Drowzee - 60 games total
Tangela - 60 games total
Xatu - 60 games total
Ampharos - 60 games total
Misdreavus - 60 games total
Piloswine - 60 games total
Wingull - 60 games total
jirachi - 60 games total
Caterpie - 59 games total
Metapod - 59 games total
Victreebel - 59 games total
Hypno - 59 games total
Jynx - 59 games total
Noctowl - 59 games total
Aipom - 59 games total
Corsola - 59 games total
Salamence - 59 games total
Groudon - 59 games total
Munchlax - 59 games total
Pidgeotto - 58 games total
Pigeot - 58 games total
Weepinbell - 58 games total
Ponyta - 58 games total
Doduo - 58 games total
Meganium - 58 games total
Typhlosion - 58 games total
Natu - 58 games total
Flaaffy - 58 games total
Slowking - 58 games total
Sceptile - 58 games total
Mawile - 58 games total
Swablu - 58 games total
Piplup - 58 games total
Fearow - 57 games total
Paras - 57 games total
Venomoth - 57 games total
Feraligatr - 57 games total
Kingdra - 57 games total
Phanpy - 57 games total
Corphish - 57 games total
Milotic - 57 games total
Latias - 57 games total
Rayquaza - 57 games total
Riolu - 57 games total
Weavile - 57 games total
Raticate - 56 games total
Parasect - 56 games total
Hitmonchan - 56 games total
Quilava - 56 games total
Politoed - 56 games total
Ludicolo - 56 games total
Absol - 56 games total
Beldum - 56 games total
